cause,explanation
Equipment failure,"When airplane equipment failures involve navigation systems, altimeters or communications the results can be fatal, especially on private flights that aren't being actively tracked by radar."
Structural failure,"The structure failure could be improper size or shape, improper selection of materials, failing to adhere to the design, or from lack of consideration of unexpected problems."
Design flaw,"The 1952 Farnborough Airshow DH.110 crash was an air show accident involving a de Havilland DH.110 which killed 31 people. The cause was a faulty wing leading edge design. The DH.110 was grounded and strict safety procedures were subsequently enacted."
Maintenance error,"On 10 June 1990, the shift maintenance manager replaced the windscreen of British Airways Flight 5390 without reference to the maintenance documentation, which later caused the captain blown halfway out of the aircraft after the plane took off."
Weather,"Bad weather contiditon might cause plane crash. The category contains specific causes such as severe turbulence, windshear, and mountain wave."
Severe turbulence,"Powerful turbulence has, on occasion, resulted in damage to aircraft and injury to their occupants. About sixty people, two-thirds of them flight attendants, are injured by turbulence annually in the United States."
Windshear,"Wind shear refers to the variation of wind over either horizontal or vertical distances. Airplane pilots generally regard significant wind shear to be a horizontal change in airspeed of 30 knots (15 m/s) for light aircraft, and near 45 knots (22 m/s) for airliners at flight altitude."
Mountain wave,"Mountain Waves is defined as oscillations to the lee side (downwind) of high ground resulting from the disturbance in the horizontal air flow caused by the high ground."
Poor visibility,"On October 2016, two men died when their light aircraft crashed into Blackstairs mountain after entering an area of low visibility, an Air Accident Investigation Unit report has found."
Heavy rain,"Heavy rain can affect flight if the ambient air temperature at the altitude of the flight is at or below freezing. In that situation, rain which hits the aircraft may freeze upon contact, and can rapidly build up a dangerous accumulation of ice."
Severe winds,"On March 2016, a passenger jet circled a southern Russian airport in high winds and poor visibility, then crashed on a second landing attempt early Saturday, killing all 62 people aboard."
Icing,"In aviation, icing conditions are those atmospheric conditions that can lead to the formation of water ice on the surfaces of an aircraft, or within the engine as carburetor icing. Inlet icing is another engine-related danger, often occurring in jet aircraft."
Thunderstorms,"A thunderstorm brings together in one place just about every known weather hazard to aviation. Even a small thunderstorm would have the caloric equivalent of a Hiroshimatypeatomic weapon. It is the one weather event that should always be avoided."
Lightning strike,"It is estimated that on average, each airplane in the U.S. commercial fleet is struck lightly by lightning more than once each year. In fact, aircraft often trigger lightning when flying through a heavily charged region of a cloud."
Sabotage,"This category contains hijacking, shot down, and explosive device aboard."
Hijacking,"Aircraft hijacking is the unlawful seizure of an aircraft by an individual or a group. In most cases, the pilot is forced to fly according to the orders of the hijackers. Occasionally, however, the hijackers have flown the aircraft themselves, such as the September 11 attacks."
Shot down,"On 17 July 2014, Flight MH17, en route from Amsterdam to Kuala Lumpur, was travelling over conflict-hit Ukraine on 17 July 2014 when it disappeared from radar. It is found out to be crashed after being hit by a Russian-made Buk missile over eastern Ukraine."
Explosive device aboard,"On 21 December 1988, N739PA, the aircraft operating the transatlantic leg of the route, was destroyed by a bomb, killing all 243 passengers and 16 crew, in what became known as the Lockerbie bombing."
Other,"Other causes for plane crashes, such as ATC error, ground crew error, and overloaded."
ATC error,"Mistakes made by air traffic controllers, whether miscommunication or overlooking essential data, could create dire airway situations.  And faulty air traffic control devices could mean the information relayed from the tower to the pilot is, simply, bad information."
Ground crew error,"The human errors that may be made by ground crews could ultimately may have an impact on the safety of a flight or on the performance of Air Crews and Aircraft Maintenance personnel."
Overloaded,"On January 8, 2003 , Air Midwest Flight 5481 crashed into a US Airways hangar and burst into flames 37 seconds after leaving the Airport. It was found out later that the plane was actually overloaded and out of balance due to the incorrect passenger weight estimates."
Improperly loaded cargo,"In April 2013, a cargo plane belonging to a U.S.-based company crashed shortly after takeoff from Bagram Air Base in Afghanistan on Monday, killing seven crew members. It was speculated that the cargo was improperly loaded or shifted during takeoff."
Bird strike,"Bird Strike is common and can be a significant threat to aircraft safety. For smaller aircraft, significant damage may be caused to the aircraft structure and all aircraft, especially jet-engined ones, are vulnerable to the loss of thrust which can follow the ingestion of birds into engine air intakes. This has resulted in a number of fatal accidents."
Fuel contamination,"Contaminated fuel can cause significant damage to the aircraft and engine. Damage can range from fuel system corrosion, clogging of fuel filtration components, failure of aircraft fuel system instrumentation, and even stopping the fuel supply to the engines during flight."
Pilot incapacitation,"Pilot Incapacitation is the term used to describe the inability of a pilot, who is part of the operating crew, to carry out their normal duties because of the onset, during flight, of the effects of physiological factors."
Obstruction on runway,"The obstruction on the runaway might prevent the plane from landing, and therefore brings potential danger."
Midair collision caused by other plane,"Even it might be another plane’s fault, the midair collision could still kill all the people on both planes."
Fire or smoke in flight,"On 2 June 1983, Air Canada Flight 797 developed an in-flight fire behind the washroom that spread between the outer skin and the inner decor panels, filling the plane with toxic smoke. The plane's interior immediately became engulfed in flames, killing 23 individuals who had yet to evacuate the aircraft."
